"","(none)","Astrocytes","Interneurons","Microglia","Oligodendrocyte Precursor","Oligodendrocytes","Pericytes","Pyramidal Neurons","Vascular and Leptomeningeal Cells","Vascular Endothelial","Vascular Smooth Muscle Cell"
"AH_ALS_F73No14",0.0208283132606817,0,0.0501479421403776,0,0.0934269906486808,0.57113333298047,0,0.165861225097378,0.0872032637574115,0,0.011398932115
"AH_ALS_M61No16",0,0,0,0,0,0.999999999999999,0,0,0,0,0
"AH_ALS_M55No17",0,0,0.0664183895727248,0.166261441973101,0,0.598745976285006,0,0.161408952224299,0.00716523994486842,0,0
"AH_ALS_F80No18",0,0.0306376284192841,0,0,0,0.630686186019598,0,0.294461507857159,0.0442146777039584,0,0
"AH_ALS_M74No27",0,0,0,0.0102785435814632,0,0.985741165253663,0,0,0.00398029116487354,0,0
"AH_ALS_M54No33",0,0.025540718704131,0,0.100111000041065,0,0.874348281254802,0,0,0,0,0
"AH_ALS_F81No34",0,0.0658462389521456,0.00105652404268315,0.236393108982955,0.138029462289947,0.184528975122747,0,0.143552367188678,0.225748957065592,0.00484436635525172,0
"AH_ALS_F74No35",0,0,0.0587570316046928,0,0.0187039810879447,0.564433505371889,0,0.22530896732188,0.0634471191266619,0,0.069349395486931
"AH_ALS_F58No60",0,0.0541268372483082,0,0.101608214573545,0.181339403399598,0.228098963801082,0,0.388626327744158,0.0462002532333087,0,0
"AH_ALS_M68No63",0.0875316798890478,0,0,0.0336691912508614,0.194761878927237,0.352684633909806,0.000161967228195767,0.269680754341729,0.0422526208466297,0,0.0192572736064943
"AH_ALS_M47No64",0,0,0,0,0.0978559196495041,0.625742425037758,0.079524496817831,0.0560196310472075,0,0.0570303869559986,0.0838271404917014
"AH_ALS_F72No68",0,0.0158521790951652,0,0.0952081965326801,0.158305134768981,0.127748689581806,0.0404779983209053,0.54587824089628,0.0165295608041832,0,0
"AH_CTRL_M78No10",0.113193435159546,0,0.125928306744015,0,0.289523743663792,0.258356767665933,0.0427634333809457,0.170234313385769,0,0,0
"AH_CTRL_F80No19",0,0,0.0477340500877972,0.0341729422201496,0.0398369501232752,0.80367338191825,0,0,0.0352961382360393,0,0.0392865374144881
"AH_CTRL_M49No26",0,0.0627804621860001,0,0,0,0.937219537814,0,0,0,0,0
"AH_CTRL_M77No39",0,0,0,0,0,0.999999999999999,0,0,0,0,0
"AH_CTRL_M61No42",0.289456653343611,0,0.375597787057625,0.141497474029108,0,0,0.156780785554514,0.0366673000151422,0,0,0
"AH_CTRL_F80No44",0,0.0810603048525793,0.1398225457098,0,0,0.720778633838332,0,0.0583385155992898,0,0,0
"AH_CTRL_M73No59",0,0,0,0,0,0.958668070506914,0,0,0.0413319294930834,0,0
"AH_CTRL_M77No67",0,0.0624239640889703,0,0,0,0.937576035911028,0,0,0,0,0
